,ACWI,AGG,GLD,BSV
2015-04-02,0.22222222222222227,0.44444444444444453,0.0,0.33333333333333337
2015-04-10,0.22222222222222227,0.44444444444444453,0.0,0.33333333333333337
2015-04-17,0.3472222222222222,0.38194444444444453,0.0,0.27083333333333337
2015-04-24,0.44444444444444436,0.3333333333333333,0.0,0.22222222222222218
2015-05-01,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2015-05-08,0.33333333333333337,0.22222222222222227,0.0,0.44444444444444453
2015-05-15,0.3,0.19999999999999998,0.09999999999999999,0.39999999999999997
2015-05-22,0.33333333333333337,0.22222222222222227,0.0,0.44444444444444453
2015-05-29,0.33333333333333337,0.22222222222222227,0.0,0.44444444444444453
2015-06-05,0.33333333333333337,0.22222222222222227,0.0,0.44444444444444453
2015-06-12,0.45833333333333326,0.1055555555555556,0.0,0.43611111111111106
2015-06-19,0.43084066471163246,0.008048224177256452,0.0,0.5611111111111111
2015-06-26,0.5558406647116325,0.0008923595965098117,0.0,0.4432669756918578
2015-07-02,0.4317110108470916,2.2013461050663123e-05,0.0,0.5682669756918578
2015-07-10,0.4285714285714286,0.0,0.0,0.5714285714285715
2015-07-17,0.5535714285714286,0.0,0.0,0.4464285714285715
2015-07-24,0.4285714285714286,0.0,0.0,0.5714285714285715
2015-07-31,0.4285714285714286,0.0,0.0,0.5714285714285715
2015-08-07,0.3035714285714286,0.125,0.0,0.5714285714285715
2015-08-14,0.1785714285714286,0.25,0.0,0.5714285714285715
2015-08-21,0.0535714285714286,0.375,0.0,0.5714285714285715
2015-08-28,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-09-04,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-09-11,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-09-18,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-09-25,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-10-02,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-10-09,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-10-16,0.0,0.375,0.125,0.5
2015-10-23,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2015-10-30,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2015-11-06,0.0,0.3869047619047619,0.09722222222222224,0.5158730158730159
2015-11-13,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-11-20,0.125,0.3705357142857143,0.0,0.5044642857142858
2015-11-27,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-12-04,0.12499999999999997,0.35119047619047616,0.0,0.5238095238095238
2015-12-11,0.0,0.4285714285714286,0.0,0.5714285714285715
2015-12-18,0.0,0.5535714285714286,0.0,0.4464285714285715
2015-12-24,0.125,0.49218749999999994,0.0,0.38281249999999994
2015-12-31,0.2241253644314869,0.5180621355685131,0.0,0.2578125
2016-01-08,0.09912536443148694,0.5478258550807082,0.0,0.35304878048780486
2016-01-15,0.04238627469906424,0.47956494481313094,0.0,0.47804878048780486
2016-01-22,0.0,0.4285714285714286,0.0,0.5714285714285715
2016-01-29,0.0,0.4285714285714286,0.0,0.5714285714285715
2016-02-05,0.0,0.375,0.125,0.5
2016-02-12,0.0,0.2833333333333333,0.25,0.46666666666666673
2016-02-19,0.0,0.22222222222222227,0.33333333333333337,0.44444444444444453
2016-02-26,0.0,0.33333333333333337,0.22222222222222227,0.44444444444444453
2016-03-04,0.0,0.27083333333333337,0.34722222222222227,0.38194444444444453
2016-03-11,0.0,0.31974637681159424,0.42330917874396135,0.25694444444444453
2016-03-18,0.0,0.3281923227575402,0.29830917874396135,0.3734984984984986
2016-03-24,0.0,0.44444444444444453,0.22222222222222227,0.33333333333333337
2016-04-01,0.07499999999999997,0.33611111111111114,0.20555555555555555,0.3833333333333333
2016-04-08,0.09999999999999999,0.3,0.19999999999999998,0.39999999999999997
2016-04-15,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-04-22,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-04-29,0.1,0.4,0.30000000000000004,0.2
2016-05-06,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-05-13,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-05-20,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-05-27,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2016-06-03,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-06-10,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-06-17,0.0,0.44444444444444453,0.22222222222222227,0.33333333333333337
2016-06-24,0.0,0.44444444444444453,0.22222222222222227,0.33333333333333337
2016-07-01,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-07-08,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-07-15,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-07-22,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-07-29,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-08-05,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-08-12,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2016-08-19,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2016-08-26,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-09-02,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2016-09-09,0.09999999999999999,0.39999999999999997,0.19999999999999998,0.3
2016-09-16,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2016-09-23,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2016-09-30,0.30000000000000004,0.4,0.1,0.2
2016-10-07,0.3333333333333333,0.44444444444444436,0.0,0.22222222222222218
2016-10-14,0.22222222222222227,0.44444444444444453,0.0,0.33333333333333337
2016-10-21,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.30000000000000004
2016-10-28,0.21666666666666665,0.35000000000000003,0.025000000000000015,0.40833333333333327
2016-11-04,0.10059523809523814,0.34107142857142864,0.13065476190476188,0.42767857142857146
