model_id,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,win_rate_daily,n_rebalances,avg_weekly_turnover,subperiod_consistency,variant_family
D_trend_sma100_200_rank_v126,1.204578554123103,0.048339395830771625,0.06932126244337998,0.7157612863140517,-0.14712207821284207,0.3285665647058006,0.5443127962085308,876,0.12662919618241658,0.8235294117647058,D_trend_filtered
D_trend_sma100_200_inv_vol_v126,0.9850486751273035,0.041793384687467405,0.05049803818899335,0.8361305355159413,-0.14712207821284096,0.28407282710488274,0.547867298578199,876,0.07324467115207162,0.8235294117647058,D_trend_filtered
D_trend_ema100_200_positive_norm_v126,1.2613452748083898,0.04993217508158576,0.07305513587952306,0.7036147581138973,-0.14261359706821708,0.35012212094826733,0.5483412322274882,876,0.13747757875094466,0.7647058823529411,D_trend_filtered
D_trend_ema100_200_rank_v126,1.1782812742057538,0.04758842537220653,0.06800420722885907,0.7177513871014665,-0.14606084848235756,0.32581233004376703,0.5436018957345972,876,0.12638903600701681,0.8235294117647058,D_trend_filtered
D_trend_ema100_200_inv_vol_v126,0.861486099554547,0.03780282957794023,0.04892837837193529,0.7829114458247196,-0.14712207821284173,0.2569487193026924,0.54739336492891,876,0.06936520284527165,0.8235294117647058,D_trend_filtered
E_breakout_w63,1.2332358166138464,0.04914822924015261,0.07267644118323545,0.6966147848536299,-0.1435599740411675,0.34235328871025555,0.5459715639810426,876,0.1586481963387972,0.7058823529411765,E_breakout
E_breakout_w126,1.232850946249441,0.04913743132230919,0.07279902086791881,0.6954238853770214,-0.14355997404116705,0.34227807333134935,0.5464454976303318,876,0.15776402051086913,0.7058823529411765,E_breakout
F_mr_tilt_5pp,1.2584682072996745,0.04985235862933157,0.07140945422727885,0.7170921538342577,-0.14233960094706577,0.35023534067564943,0.5469194312796208,876,0.13612906689156276,0.7647058823529411,F_mr_tilt
F_mr_tilt_10pp,1.280561526081247,0.05046284210652874,0.07075794731095643,0.7312561379677578,-0.1410863426798572,0.3576734724851102,0.5459715639810426,876,0.13664664024356338,0.8235294117647058,F_mr_tilt
G_drawdown_dd5pct,1.2157537109194507,0.04865597708396341,0.07020606486688677,0.7119237694080424,-0.13501000997030344,0.36038792304856276,0.5445497630331754,876,0.14049907747923263,0.7058823529411765,G_drawdown_overlay
G_drawdown_dd10pct,1.2358058018328628,0.04922028789084876,0.07226952467679246,0.7010798070042291,-0.1435599740411666,0.3428552298061476,0.5476303317535545,876,0.13966726935211532,0.7058823529411765,G_drawdown_overlay
G_drawdown_dd15pct,1.2462202072248623,0.04951149764338436,0.07231792299413582,0.7044968363350456,-0.14355997404116727,0.3448837182792081,0.5476303317535545,876,0.1391828754796691,0.7058823529411765,G_drawdown_overlay
