date,sum_weights,min_weight,max_weight,turnover,turnover_cap_pass,fully_invested_pass,long_only_pass,no_leverage_pass,period
2010-10-29,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-11-05,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-11-12,1.0,0.13749999999999998,0.39999999999999997,0.25,True,True,True,True,train
2010-11-19,1.0,0.16513157894736843,0.3473684210526316,0.25,True,True,True,True,train
2010-11-26,1.0,0.09999999999999999,0.39999999999999997,0.16447368421052633,True,True,True,True,train
2010-12-03,1.0,0.1,0.3625,0.25,True,True,True,True,train
2010-12-10,0.9999999999999999,0.09999999999999998,0.38749999999999996,0.25000000000000006,True,True,True,True,train
2010-12-17,1.0,0.1,0.4,0.024999999999999967,True,True,True,True,train
2010-12-23,1.0,0.1,0.4,0.19999999999999996,True,True,True,True,train
2010-12-31,1.0,0.1,0.4,0.0,True,True,True,True,train
2011-01-07,1.0,0.1,0.4,0.0,True,True,True,True,train
2011-01-14,1.0,0.1,0.4,0.0,True,True,True,True,train
2011-01-21,1.0,0.1,0.4,0.0,True,True,True,True,train
2011-01-28,1.0,0.1,0.4,0.0,True,True,True,True,train
2011-02-04,1.0,0.05833333333333334,0.4714285714285715,0.25,True,True,True,True,train
2011-02-11,0.9999999999999999,0.01666666666666668,0.5428571428571428,0.24999999999999975,True,True,True,True,train
2011-02-18,1.0,0.005637254901960782,0.47773109243697476,0.25,True,True,True,True,train
2011-02-25,1.0,0.09234896661367258,0.4063025210084033,0.25,True,True,True,True,train
2011-03-04,1.0,0.1,0.4,0.21260504201680658,True,True,True,True,train
2011-03-11,1.0,0.1,0.4,0.0,True,True,True,True,train
2011-03-18,1.0,0.17500000000000004,0.4,0.25,True,True,True,True,train
2011-03-25,1.0,0.1,0.4,0.25,True,True,True,True,train
2011-04-01,1.0,0.1,0.4,0.0,True,True,True,True,train
2011-04-08,1.0,0.1,0.4,0.2,True,True,True,True,train
2011-04-15,1.0,0.1,0.4,0.2,True,True,True,True,train
2011-04-21,1.0,0.1,0.4,0.2,True,True,True,True,train
2011-04-29,1.0,0.1,0.4,0.2,True,True,True,True,train
2011-05-06,1.0,0.1625,0.3375,0.25,True,True,True,True,train
2011-05-13,1.0,0.175,0.27954545454545454,0.25,True,True,True,True,train
2011-05-20,1.0,0.11249999999999999,0.3784090909090909,0.25000000000000006,True,True,True,True,train
2011-05-27,1.0,0.09999999999999999,0.39999999999999997,0.04999999999999995,True,True,True,True,train
2011-06-03,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2011-06-10,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2011-06-17,1.0,0.09999999999999999,0.39999999999999997,0.19999999999999996,True,True,True,True,train
2011-06-24,1.0,0.09999999999999999,0.3625,0.24999999999999997,True,True,True,True,train
2011-07-01,1.0,0.09999999999999999,0.39999999999999997,0.15,True,True,True,True,train
2011-07-08,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2011-07-15,1.0,0.10000000000000002,0.3375,0.24999999999999994,True,True,True,True,train
